Name of Lead Agency,Agency Address - Line 1,Agency Address - Line 2,City,Zip Code,Lead Agency Website,Primary Contact Person,Lead Agency Phone Number,Lead Agency Email,Name of Program,Program Description,Number of Sites,Primary Site Address,,City,Zip Code,Primary Site Contact Person,Primary Site Phone Number,Primary Site Email Address,Area(s) of Focus,Days of Program Operation,Hours of Program Operation,Period of Operation,Eligibility Requirements,Capacity of Program,Grades Served,License Status,Fees,Transportation Provision,Does your program serve meals?,Please share any additional comments or notes
Just for Kids,6265 Sheridan Dr,Ste 106,Williamsville,14221,www.justforkidsonline.org,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,Just for Kids,"Manages before and after school programs, break camps, and summer camps for local school districts.   OCFS-SACC Programs located in the Williamsville, Grand Island, and Cheektowaga Central School districts for 2014-15.  Offering reasonable rates for parents and a quality employment experience for staff members.  Established in 1994, the administrative staff of Just for Kids possess strong educational and work backgrounds in education, school psychology, school counseling, and activity development.",1,Sidway Elementary PM Program,"2451 Baseline Rd.
",Grand Island,14072,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",School Year: AM Programs 7:00-8:45; PM programs: Dismissal - 6:00.  Summer Camp: 7:30-5:30 M-F; ,"School Year, Summer, School Breaks","school age youth, 5-12 years",950,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"Tuition is based on attendance, frequency, and a variety of discounts (pay in full, sibling, etc).   We also accept DSS subsidy.",We do not provide transportation,"Breakfast, Lunch, Snack, (B/L: Camp only)(Snack: all programs)",
Just for Kids,6265 Sheridan Dr,Ste 106,Williamsville,14221,www.justforkidsonline.org,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,Just for Kids,"Manages before and after school programs, break camps, and summer camps for local school districts.   OCFS-SACC Programs located in the Williamsville, Grand Island, and Cheektowaga Central School districts for 2014-15.  Offering reasonable rates for parents and a quality employment experience for staff members.  Established in 1994, the administrative staff of Just for Kids possess strong educational and work backgrounds in education, school psychology, school counseling, and activity development.",1,Transit Middle AM Program,8730 Transit Road,Williamsville,14221,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",School Year: AM Programs 7:00-8:45; PM programs: Dismissal - 6:00.  Summer Camp: 7:30-5:30 M-F; ,"School Year, Summer, School Breaks","school age youth, 5-12 years",950,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"Tuition is based on attendance, frequency, and a variety of discounts (pay in full, sibling, etc).   We also accept DSS subsidy.",We do not provide transportation,"Breakfast, Lunch, Snack, (B/L: Camp only)(Snack: all programs)",
Just for Kids,6265 Sheridan Dr,Ste 106,Williamsville,14221,www.justforkidsonline.org,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,Just for Kids,"Manages before and after school programs, break camps, and summer camps for local school districts.   OCFS-SACC Programs located in the Williamsville, Grand Island, and Cheektowaga Central School districts for 2014-15.  Offering reasonable rates for parents and a quality employment experience for staff members.  Established in 1994, the administrative staff of Just for Kids possess strong educational and work backgrounds in education, school psychology, school counseling, and activity development.",1,Union East Elementary PM Program,"3550 union Rd.
",Cheektowaga,14225,Kristina Kleeh,716-639-8500,kkleeh@justforkidsonline.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",School Year: AM Programs 7:00-8:45; PM programs: Dismissal - 6:00.  Summer Camp: 7:30-5:30 M-F; ,"School Year, Summer, School Breaks","school age youth, 5-12 years",950,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",School-Aged Child Care (SACC),"Tuition is based on attendance, frequency, and a variety of discounts (pay in full, sibling, etc).   We also accept DSS subsidy.",We do not provide transportation,"Breakfast, Lunch, Snack, (B/L: Camp only)(Snack: all programs)",
Campus & Community Children's Center,280 Central Avenue,,Fredonia,14063,www.childcarecccc.com,Susan Amatuzzo,7166734662,amatuzzo@fredonia.edu,School Age Programs,"We provide before and after school care in addition to holiday programming when school is not in session.  We also offer a summer camp program.  All programs offer a wide range of activities, including indoor/outdoor play, arts and crafts, games, community service, and more!",1,425 East Main Street,,Fredonia,14063,Tammi Sullivan,716-673-4662,sullivan@fredonia.edu,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",6:45am-5:30pm,"School Year, Summer, School Breaks",Ages 5-12,40,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th","School-Aged Child Care (SACC), Day Care","Rates based on income.  Maximum rates below: 
oefore School Program: $8/day
After School Program:  $17/day
Holiday and Summer Camp:  $35/day",We do not provide transportation,"Breakfast, Snack",
Town of Amherst,1615 Amherst Manor Drive,,Amherst,14221,amherst.ny.us,Janice Zapfel,716-631-7132,jzapfel@amherst.ny.us,Town of Amherst Youth and Recreation Department After School Program,"Accredited after school programs serving Town of Amherst residents. Warm and caring environment, theme based curriculum,
Daily homework help time, health snack, age appropriate units and activities ",1,Northtown Center (Youth & Fa,1615 Amherst Manor Dr,Amherst,14221,Janice Zapfel,716-631-7132,jzapfel@amherst.ny.us,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",end of school day (dependent upon dismissal times)-6:00pm,School Year,Town of Amherst resident,45-50,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),Sliding scale fee structure. Dependent upon families adjust gross income reflected on Federal tax form 1040,We do not provide transportation,Snack,
Town of Amherst,1615 Amherst Manor Drive,,Amherst,14221,amherst.ny.us,Janice Zapfel,716-631-7132,jzapfel@amherst.ny.us,Town of Amherst Youth and Recreation Department After School Program,"Accredited after school programs serving Town of Amherst residents. Warm and caring environment, theme based curriculum,
Daily homework help time, health snack, age appropriate units and activities ",1,Clearfield Youth Center,730 Hopkins Rd,Amherst,14221,Janice Zapfel,716-631-7132,jzapfel@amherst.ny.us,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",end of school day (dependent upon dismissal times)-6:00pm,School Year,Town of Amherst resident,45-50,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),Sliding scale fee structure. Dependent upon families adjust gross income reflected on Federal tax form 1040,We do not provide transportation,Snack,
Town of Amherst,1615 Amherst Manor Drive,,Amherst,14221,amherst.ny.us,Janice Zapfel,716-631-7132,jzapfel@amherst.ny.us,Town of Amherst Youth and Recreation Department After School Program,"Accredited after school programs serving Town of Amherst residents. Warm and caring environment, theme based curriculum,
Daily homework help time, health snack, age appropriate units and activities ",1,Harlem Road Youth Center,4255 Harlem Rd,Amherst,14226,Janice Zapfel,716-631-7132,jzapfel@amherst.ny.us,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",end of school day (dependent upon dismissal times)-6:00pm,School Year,Town of Amherst resident,45-50,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),Sliding scale fee structure. Dependent upon families adjust gross income reflected on Federal tax form 1040,We do not provide transportation,Snack,
Town of Amherst,1615 Amherst Manor Drive,,Amherst,14221,amherst.ny.us,Janice Zapfel,716-631-7132,jzapfel@amherst.ny.us,Town of Amherst Youth and Recreation Department After School Program,"Accredited after school programs serving Town of Amherst residents. Warm and caring environment, theme based curriculum,
Daily homework help time, health snack, age appropriate units and activities ",1,Williamsville Youth Center,5005 Sheridan Dr.,Amherst,14221,Janice Zapfel,716-631-7132,jzapfel@amherst.ny.us,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",end of school day (dependent upon dismissal times)-6:00pm,School Year,Town of Amherst resident,45-50,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),Sliding scale fee structure. Dependent upon families adjust gross income reflected on Federal tax form 1040,We do not provide transportation,Snack,
Child & Adolescent Treatment Services (CATS),556 Franklin,,Buffalo,14213,,Kim Luce,716-886-5437,jbuser@catswny.org,21st Century/Building Brighter Futures,"Both programs are based off the 21st Century model that include; academics, enrichment, parent involvement events, field trips, etc.",1,110 14th St,,Buffalo,14213,Jennifer Buser,716-957-2833,jbuser@catswny.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday",Program runs 2:30-5:30pm Monday- Thursday at PS #198 and 3:30-5:30 Monday-Thursday at PS #18,School Year,,100-300,"1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",School-Aged Child Care (SACC),,Home from the program,Dinner,
Child & Adolescent Treatment Services (CATS),556 Franklin,,Buffalo,14213,,Kim Luce,716-886-5437,jbuser@catswny.org,21st Century/Building Brighter Futures,"Both programs are based off the 21st Century model that include; academics, enrichment, parent involvement events, field trips, etc.",1,750 West Ave,,Buffalo,14213,Jennifer Buser,716-957-2833,jbuser@catswny.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday",Program runs 2:30-5:30pm Monday- Thursday at PS #198 and 3:30-5:30 Monday-Thursday at PS #18,School Year,,100-300,"1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",School-Aged Child Care (SACC),,Home from the program,Dinner,
